x,y
1924467.5075600601,967688.9554089472
1924467.5397625652,967689.0110472419
1924467.5622673035,967689.0495462443
1924467.5926639144,967689.1045999287
1924467.6227251298,967689.1595491688
1924467.6528655877,967689.2140448699
1924467.6831874219,967689.2683968637
1924467.7072746635,967689.311811788
1924467.7346189143,967689.3613043556
1924467.7650722913,967689.4150379741
1924467.7954735318,967689.4688951692
1924467.818967232,967689.5121633883
1924467.843106532,967689.5554753669
1924467.8700917922,967689.6042857709
1924467.899661195,967689.659501292
1924467.9230475079,967689.7038211979
1924467.9523596438,967689.7587675382
1924467.9823431328,967689.8137783615
1924468.0056286762,967689.857437734
1924468.0323814617,967689.9062472413
1924468.0611329088,967689.9592316146
1924468.0907881784,967690.0122813723
1924468.119718686,967690.0657202892
1924468.1479009849,967690.1189293885
1924468.1682146122,967690.1562646645
1924468.1974867359,967690.2081989545
1924468.2257242892,967690.2604799398
1924468.2481944282,967690.3012480371
1924468.2766418154,967690.3527046595
1924468.3050929504,967690.4031917102
1924468.330849283,967690.4491711308
1924468.3536315428,967690.4893834377
1924468.3819283356,967690.5397048589
1924468.403832441,967690.5798931413
1924468.4315352151,967690.6301916344
1924468.456962771,967690.6743543919
1924468.479877455,967690.7137214079
1924468.5078701065,967690.7625357009
1924468.536250215,967690.8113514953
1924468.5643475438,967690.8598154924
1924468.5873167613,967690.8984400579
1924468.6131133637,967690.9406857044
1924468.6411130356,967690.9876846366
1924468.6688827875,967691.0340225335
1924468.6965986455,967691.0809378489
1924468.7188993818,967691.1187552812
1924468.744590351,967691.1615987696
1924468.7738482147,967691.2105417312
1924468.803698347,967691.2599614573
1924468.8281106383,967691.2994786649
1924468.8583712657,967691.3496220082
1924468.8835805533,967691.3901118784
1924468.917827024,967691.4448916216
1924468.9430337576,967691.4860416248
1924468.9742220445,967691.5367661755
1924469.0053334008,967691.5873460245
1924469.036753367,967691.6382777608
1924469.0583942418,967691.673060116
1924469.089788856,967691.7238679825
1924469.1407462,967691.8057987585
1924469.147009018,967691.8161170512
1924469.172912375,967691.8574760417
1924469.205644114,967691.9098569095
1924469.2348802192,967691.9577476798
1924469.2607517657,967692.00065375
1924469.2938381087,967692.0548513778
1924469.3262011192,967692.1090668383
1924469.3587452625,967692.1632004806
1924469.3783807,967692.1955614352
1924469.4140282283,967692.2554214261
